PRE	ACT
68	107
74	117
78	126
82	131
88	142
96	147
105	153
114	149
116	138
113	145
113	161
118	146
114	144
109	144
108	146
111	137
111	146
117	149
130	153
131	154
128	148
119	136
108	130
104	144
108	165
129	164
142	142
137	125
127	113
116	102
105	88
94	69
81	45
67	40
56	27
47	29
41	37
39	29
36	30
34	30
34	37
38	48
51	52
60	62
72	62
80	60
83	57
82	59
80	59
78	60
74	60
69	66
67	72
71	87
78	103
85	101
88	77
87	75
86	76
86	78
89	82
91	84
92	78
91	85
91	84
90	82
88	84
87	87
89	95
91	108
93	119
95	135
98	147
103	169
109	180
124	178
132	182
139	187
135	202
137	209
140	216
145	218
151	218
157	216
162	219
170	234
183	222
184	208
182	194
176	195
172	197
170	201
169	217
171	221
169	229
166	246
165	253
167	262
171	266
176	279
182	280
187	278
191	279
193	284
199	291
208	294
217	295
225	295
227	297
232	317
241	344
246	359
244	353
242	211
271	193
267	233
237	190
213	172
208	173
213	192
190	200
177	182
175	172
187	167
168	171
176	174
179	190
176	206
174	226
208	233
226	239
205	249
195	204
197	34
134	15
91	3
59	4
38	7
25	6
14	10
9	4
5	5
3	7
2	3
2	10
3	4
2	7
1	3
1	5
0	4
2	3
4	25
14	22
17	30
25	28
30	26
31	26
30	21
26	17
22	18
21	16
20	16
19	25
23	22
25	21
25	20
25	28
26	35
27	30
28	38
29	44
31	40
32	39
32	38
32	40
32	39
32	42
33	41
33	44
36	39
37	33
35	31
32	36
31	32
30	31
29	33
29	39
32	43
39	42
40	44
41	48
40	66
46	79
51	78
55	81
57	85
60	79
61	82
63	85
64	89
67	85
68	87
69	86
70	94
72	94
72	90
72	94
73	92
73	94
73	97
75	94
76	97
77	109
79	103
77	101
82	106
86	111
89	114
95	105
98	97
89	63
82	106
81	103
79	114
78	140
85	137
88	140
90	138
99	142
100	131
97	124
92	131
87	136
85	129
82	131
78	123
77	78
70	51
64	28
52	31
45	42
41	59
40	43
36	31
30	23
25	27
23	27
23	25
22	26
23	28
25	27
27	38
32	52
38	60
42	44
41	22
36	18
31	15
27	16
23	15
19	14
15	12
12	14
12	16
14	15
14	14
14	17
14	19
14	27
16	28
17	25
18	22
19	26
21	32
25	33
27	36
29	43
33	50
36	54
40	58
44	60
47	58
48	54
48	54
50	60
52	65
54	70
54	44
49	63
50	67
50	66
52	70
54	69
57	72
59	75
60	87
63	101
70	99
73	92
73	88
72	85
70	78
67	78
65	80
64	90
65	94
67	89
66	82
64	79
61	90
61	81
60	87
62	104
69	99
72	82
70	81
69	78
69	86
69	88
70	91
70	112
76	114
84	139
94	151
102	151
109	157
117	162
126	167
133	114
131	130
116	99
99	90
90	82
81	78
86	82
92	89
88	94
99	89
98	92
93	86
85	89
81	224
105	235
123	246
137	241
146	223
150	228
155	200
157	180
152	87
125	60
99	38
75	27
54	47
45	59
39	39
32	31
26	29
24	41
25	44
27	50
30	52
33	54
36	58
39	51
40	58
42	52
43	48
43	54
42	52
42	56
42	58
40	48
29	46
29	44
32	47
32	54
33	58
35	47
33	38
30	51
32	47
34	59
40	74
47	91
57	97
66	100
71	102
74	102
76	103
77	102
76	103
69	80
64	84
66	97
71	111
79	126
88	132
93	135
97	125
94	130
94	126
92	128
90	132
91	126
92	139
97	158
109	169
125	175
135	169
139	162
137	171
135	175
132	168
127	164
123	157
118	163
117	172
119	181
122	192
127	198
131	202
134	208
136	222
